release,brickid,brickname,objid,brick_primary,type,ra,dec,ra_ivar,dec_ivar,bx,by,dchisq,ebv,mjd_min,mjd_max,flux_u,flux_g,flux_r,flux_i,flux_z,flux_Y,flux_w1,flux_w2,flux_w3,flux_w4,flux_ivar_u,flux_ivar_g,flux_ivar_r,flux_ivar_i,flux_ivar_z,flux_ivar_Y,flux_ivar_w1,flux_ivar_w2,flux_ivar_w3,flux_ivar_w4,apflux_u,apflux_g,apflux_r,apflux_i,apflux_z,apflux_Y,apflux_resid_u,apflux_resid_g,apflux_resid_r,apflux_resid_i,apflux_resid_z,apflux_resid_Y,apflux_ivar_u,apflux_ivar_g,apflux_ivar_r,apflux_ivar_i,apflux_ivar_z,apflux_ivar_Y,mw_transmission_u,mw_transmission_g,mw_transmission_r,mw_transmission_i,mw_transmission_z,mw_transmission_Y,mw_transmission_w1,mw_transmission_w2,mw_transmission_w3,mw_transmission_w4,nobs_u,nobs_g,nobs_r,nobs_i,nobs_z,nobs_Y,nobs_w1,nobs_w2,nobs_w3,nobs_w4,rchisq_u,rchisq_g,rchisq_r,rchisq_i,rchisq_z,rchisq_Y,rchisq_w1,rchisq_w2,rchisq_w3,rchisq_w4,fracflux_u,fracflux_g,fracflux_r,fracflux_i,fracflux_z,fracflux_Y,fracflux_w1,fracflux_w2,fracflux_w3,fracflux_w4,fracmasked_u,fracmasked_g,fracmasked_r,fracmasked_i,fracmasked_z,fracmasked_Y,fracin_u,fracin_g,fracin_r,fracin_i,fracin_z,fracin_Y,anymask_u,anymask_g,anymask_r,anymask_i,anymask_z,anymask_Y,allmask_u,allmask_g,allmask_r,allmask_i,allmask_z,allmask_Y,wisemask_w1,wisemask_w2,psfsize_u,psfsize_g,psfsize_r,psfsize_i,psfsize_z,psfsize_Y,psfdepth_u,psfdepth_g,psfdepth_r,psfdepth_i,psfdepth_z,psfdepth_Y,galdepth_u,galdepth_g,galdepth_r,galdepth_i,galdepth_z,galdepth_Y,wise_coadd_id,lc_flux_w1,lc_flux_w2,lc_flux_ivar_w1,lc_flux_ivar_w2,lc_nobs_w1,lc_nobs_w2,lc_fracflux_w1,lc_fracflux_w2,lc_rchisq_w1,lc_rchisq_w2,lc_mjd_w1,lc_mjd_w2,fracdev,fracdev_ivar,shapeexp_r,shapeexp_r_ivar,shapeexp_e1,shapeexp_e1_ivar,shapeexp_e2,shapeexp_e2_ivar,shapedev_r,shapedev_r_ivar,shapedev_e1,shapedev_e1_ivar,shapedev_e2,shapedev_e2_ivar
5000,340380,3431p015,4340,True,DEV,343.231562039,1.58773577299,3.66795e+10,2.54511e+10,335.848,3005.07,10789.8 .. 2672.77,0.0748529,56537.1857502,57329.0495414,0.0,70.3136,127.116,0.0,200.879,0.0,87.4446,-16.5811,-311.628,2367.07,0.0,2.62568,1.34669,0.0,0.147622,0.0,0.0381264,0.00956449,4.41556e-05,1.80395e-06,0.0 .. 0.0,0.164481 .. 13.6065,0.307885 .. 23.3439,0.0 .. 0.0,0.564549 .. 35.4257,0.0 .. 0.0,0.0 .. 0.0,-0.0518953 .. 1.16579,-0.126571 .. 1.49408,0.0 .. 0.0,-0.145865 .. 0.897294,0.0 .. 0.0,0.0 .. 0.0,11811.7 .. 59.1832,5854.35 .. 29.3065,0.0 .. 0.0,609.631 .. 3.11036,0.0 .. 0.0,0.75925,0.801252,0.861346,0.896053,0.919901,0.929271,0.987395,0.99224,0.99834,0.999373,0,5,4,0,3,0,72,73,13,13,0.0,0.836156,1.14812,0.0,1.25488,0.0,1.62842,0.597891,0.305174,0.0939328,0.0,0.00673503,0.00481495,0.0,0.0062533,0.0,0.150904,1.26219,0.386691,1.21098,0.0,0.22926,0.18852,0.0,0.183503,0.0,0.0,0.328538,0.366414,0.0,0.375081,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,1.65152,1.16035,0.0,1.0439,0.0,0.0,1493.15,1501.9,0.0,193.631,0.0,0.0,1001.95,799.197,0.0,94.44,0.0,3433p015,119.869 .. 0.0,-29.8853 .. 0.0,0.00775604 .. 0.0,0.00219039 .. 0.0,14 .. 0,14 .. 0,0.108372 .. 0.0,1.30187 .. 0.0,0.611997 .. 0.0,0.469228 .. 0.0,55353.1048491 .. 0.0,55353.1049128 .. 0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,38.1979,862.952,0.0963114,29058.3,-0.205831,58556.3
5000,346141,3433p025,126,True,EXP,343.350330148,2.39080419054,4.17471e+09,1.57331e+09,2138.18,299.101,630.061 .. 283.855,0.177272,57611.2307087,57613.2070454,0.0,17.3313,0.0,0.0,42.8326,0.0,24.7508,16.6574,81.3489,-394.025,0.0,7.79569,0.0,0.0,1.10744,0.0,0.412467,0.101245,0.000383252,1.17009e-05,0.0 .. 0.0,0.15828 .. 11.7958,0.0 .. 0.0,0.0 .. 0.0,0.51076 .. 28.8942,0.0 .. 0.0,0.0 .. 0.0,-0.0168798 .. 0.173802,0.0 .. 0.0,0.0 .. 0.0,0.0165342 .. 0.0494407,0.0 .. 0.0,0.0 .. 0.0,2523.46 .. 12.8748,0.0 .. 0.0,0.0 .. 0.0,333.084 .. 1.69941,0.0 .. 0.0,0.520858,0.591697,0.702235,0.771105,0.820596,0.84053,0.970405,0.981719,0.996073,0.998515,0,1,0,0,2,0,72,73,13,13,0.0,0.871636,0.0,0.0,0.939949,0.0,0.836335,0.707181,0.647232,0.113809,0.0,0.00426058,0.0,0.0,0.00600681,0.0,0.176788,0.189714,1.12079,1.21404,0.0,0.132842,0.0,0.0,0.129744,0.0,0.0,0.883596,0.0,0.0,0.879844,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,1.79925,0.0,0.0,1.13771,0.0,0.0,269.542,0.0,0.0,88.9571,0.0,0.0,193.91,0.0,0.0,46.3057,0.0,3433p030,27.4319 .. 0.0,14.2308 .. 0.0,0.0839139 .. 0.0,0.0240496 .. 0.0,14 .. 0,14 .. 0,0.226745 .. 0.0,0.373346 .. 0.0,0.840926 .. 0.0,0.445454 .. 0.0,55353.6999605 .. 0.0,55354.8906309 .. 0.0,0.0,0.0,6.7086,388.776,0.2582,8938.49,0.108612,3610.31,0.0,0.0,0.0,0.0,0.0,0.0
5000,343251,3408p020,257,True,REX,340.928943478,1.92644462014,1.83377e+09,1.77606e+09,1058.71,788.827,633.353 .. 295.003,0.0828335,56563.0662893,56951.0758735,0.0,10.7279,0.0,0.0,0.0,0.0,9.8049,-2.64138,-138.618,172.675,0.0,23.7054,0.0,0.0,0.0,0.0,0.518018,0.105554,0.000167028,8.10535e-06,0.0 .. 0.0,0.118746 .. 8.56366,0.0 .. 0.0,0.0 .. 0.0,0.0 .. 0.0,0.0 .. 0.0,0.0 .. 0.0,-0.0201025 .. 0.0321608,0.0 .. 0.0,0.0 .. 0.0,0.0 .. 0.0,0.0 .. 0.0,0.0 .. 0.0,5700.49 .. 29.0841,0.0 .. 0.0,0.0 .. 0.0,0.0 .. 0.0,0.0 .. 0.0,0.737279,0.782545,0.847747,0.885629,0.911749,0.922032,0.98606,0.991416,0.998163,0.999306,0,2,0,0,0,0,75,67,5,8,0.0,0.979296,0.0,0.0,0.0,0.0,0.75306,0.707153,0.6934,0.169255,0.0,7.40151e-10,0.0,0.0,0.0,0.0,0.0994366,0.543311,0.140857,1.07798,0.0,0.120905,0.0,0.0,0.0,0.0,0.0,0.895349,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,1.73566,0.0,0.0,0.0,0.0,0.0,657.042,0.0,0.0,0.0,0.0,0.0,436.008,0.0,0.0,0.0,0.0,3403p015,7.22341 .. 0.0,-22.6068 .. 0.0,0.0989671 .. 0.0,0.0164129 .. 0.0,15 .. 0,15 .. 0,0.119247 .. 0.0,0.149772 .. 0.0,0.985221 .. 0.0,0.755443 .. 0.0,55350.3925571 .. 0.0,55350.3925571 .. 0.0,0.0,0.0,4.35092,175.367,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5000,338940,3431p012,2071,True,EXP,343.216061921,1.2188327581,7.08282e+09,1.41509e+10,548.549,1371.27,2957.11 .. 1289.24,0.0704727,56544.1030325,57329.0495414,0.0,8.42662,18.3992,0.0,30.6071,0.0,14.3564,-0.0506465,-7.91283,-444.331,0.0,62.8814,16.829,0.0,2.37506,0.0,0.519841,0.123955,0.000424038,1.25288e-05,0.0 .. 0.0,0.153141 .. 6.77101,0.397334 .. 15.0736,0.0 .. 0.0,0.683693 .. 25.6779,0.0 .. 0.0,0.0 .. 0.0,0.0370818 .. 0.0783212,0.103424 .. 0.717295,0.0 .. 0.0,0.201822 .. 1.60632,0.0 .. 0.0,0.0 .. 0.0,12733.2 .. 69.4287,3132.89 .. 17.5222,0.0 .. 0.0,476.616 .. 2.43172,0.0 .. 0.0,0.771587,0.811709,0.868902,0.901827,0.924407,0.933269,0.988128,0.992692,0.998437,0.999409,0,7,3,0,2,0,70,72,12,12,0.0,0.995619,0.983125,0.0,1.11854,0.0,0.618708,0.637859,0.505096,0.231864,0.0,0.000637948,0.000516293,0.0,0.00158831,0.0,0.0228039,12.9776,1.93936,0.280138,0.0,0.106021,0.168223,0.0,0.0501342,0.0,0.0,0.96639,0.921456,0.0,0.989702,0.0,0,1,16,0,0,0,0,0,0,0,0,0,0,0,0.0,1.83643,0.945422,0.0,1.066,0.0,0.0,1318.66,1152.55,0.0,145.155,0.0,0.0,927.148,513.238,0.0,71.259,0.0,3433p015,19.4666 .. 0.0,1.65351 .. 0.0,0.102399 .. 0.0,0.0280247 .. 0.0,13 .. 0,14 .. 0,0.0401333 .. 0.0,0.755077 .. 0.0,0.682436 .. 0.0,0.924392 .. 0.0,55353.1048491 .. 0.0,55353.1049128 .. 0.0,0.0,0.0,5.05626,657.588,-0.194338,24200.2,-0.0241414,8926.45,0.0,0.0,0.0,0.0,0.0,0.0
5000,336052,3411p007,1189,True,EXP,341.004562206,0.671906148624,1.28686e+09,4.60628e+09,3454.26,726.474,466.674 .. 232.887,0.0768651,56506.3651337,56952.0862022,0.0,3.24248,5.33543,0.0,5.63721,0.0,0.598222,-5.88933,-55.7623,-11.8283,0.0,93.3837,32.4393,0.0,4.06896,0.0,0.61542,0.128959,0.00029772,9.75333e-06,0.0 .. 0.0,0.0648582 .. 2.97833,0.114559 .. 4.98585,0.0 .. 0.0,0.0399291 .. 3.34513,0.0 .. 0.0,0.0 .. 0.0,-0.0016841 .. -0.0160193,-0.00321448 .. 0.294623,0.0 .. 0.0,-0.0176818 .. -0.454332,0.0 .. 0.0,0.0 .. 0.0,14097.6 .. 71.3891,4580.23 .. 23.0488,0.0 .. 0.0,575.049 .. 2.76239,0.0 .. 0.0,0.75365,0.796494,0.857896,0.893413,0.917839,0.927441,0.987058,0.992032,0.998295,0.999356,0,5,3,0,5,0,72,68,8,9,0.0,0.961221,0.978237,0.0,1.02768,0.0,0.873658,0.59357,0.58315,0.11411,0.0,5.94284e-11,-6.40954e-11,0.0,6.6579e-11,0.0,6.70377,0.598084,0.868407,30.1283,0.0,0.111508,0.111122,0.0,0.130606,0.0,0.0,0.889803,0.888061,0.0,0.901507,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,1.60282,1.13099,0.0,1.10283,0.0,0.0,1907.79,1234.65,0.0,163.959,0.0,0.0,1257.1,643.962,0.0,78.6361,0.0,3403p000,8.95819 .. 0.0,5.83029 .. 0.0,0.0925385 .. 0.0,0.0157577 .. 0.0,11 .. 0,11 .. 0,0.489855 .. 0.0,0.498571 .. 0.0,0.872268 .. 0.0,0.614434 .. 0.0,55349.7312928 .. 0.0,55348.6728635 .. 0.0,0.0,0.0,5.20618,89.625,-0.364298,3716.16,-0.201104,2086.77,0.0,0.0,0.0,0.0,0.0,0.0
5000,338923,3388p012,1391,True,EXP,338.785989241,1.17774412167,4.40693e+09,1.47989e+09,3022.29,806.69,280.456 .. 464.524,0.0864594,56619.0563403,56955.1912844,0.0,0.747533,1.55162,0.0,2.00115,0.0,0.839866,8.3421,84.3859,-496.696,0.0,715.121,42.4226,0.0,26.196,0.0,1.04766,0.21606,0.00051687,1.26959e-05,0.0 .. 0.0,0.104816 .. 5.53929,0.282475 .. 12.4951,0.0 .. 0.0,0.421748 .. 22.5611,0.0 .. 0.0,0.0 .. 0.0,-0.00649116 .. -0.268521,0.0263491 .. -0.444387,0.0 .. 0.0,0.0139866 .. -0.178181,0.0 .. 0.0,0.0 .. 0.0,26265.0 .. 133.976,1442.0 .. 7.48724,0.0 .. 0.0,855.211 .. 4.36332,0.0 .. 0.0,0.727508,0.77419,0.84164,0.880933,0.908069,0.918762,0.985454,0.991042,0.998083,0.999276,0,3,1,0,3,0,65,64,9,9,0.0,1.0426,1.15411,0.0,1.07557,0.0,1.69097,1.01206,0.475013,0.0782041,0.0,2.24653,2.43089,0.0,3.25189,0.0,10.8845,0.677551,0.858367,2.72914,0.0,0.00385284,0.00224641,0.0,0.00447017,0.0,0.0,1.01622,0.506649,0.0,1.02884,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,1.34175,1.10073,0.0,1.1124,0.0,0.0,5064.22,411.572,0.0,238.953,0.0,0.0,2974.47,209.983,0.0,120.236,0.0,3388p015,-1.94511 .. 0.0,-2.06452 .. 0.0,0.168274 .. 0.0,0.0380616 .. 0.0,10 .. 0,10 .. 0,6.47433 .. 0.0,6.85161 .. 0.0,1.14571 .. 0.0,0.521402 .. 0.0,55349.2349306 .. 0.0,55347.812634 .. 0.0,0.0,0.0,2.20204,114.41,0.353519,812.012,0.147958,456.335,0.0,0.0,0.0,0.0,0.0,0.0
5000,340351,3358p015,4436,True,EXP,335.768079877,1.56466046803,9.28242e+09,1.71453e+10,3268.09,2688.0,3241.76 .. 4382.84,0.0817447,56545.0671207,56943.1015558,0.0,31.8599,49.8703,0.0,62.3521,0.0,28.3988,15.589,208.613,463.389,0.0,15.8796,5.25831,0.0,1.16344,0.0,0.302206,0.0722639,0.000252503,8.43858e-06,0.0 .. 0.0,0.234652 .. 17.0575,0.368327 .. 25.8909,0.0 .. 0.0,0.544987 .. 33.2709,0.0 .. 0.0,0.0 .. 0.0,0.0270312 .. -0.231794,0.0357916 .. -0.411435,0.0 .. 0.0,0.112644 .. -0.071761,0.0 .. 0.0,0.0 .. 0.0,8414.77 .. 42.9325,2739.92 .. 13.9792,0.0 .. 0.0,574.537 .. 2.93131,0.0 .. 0.0,0.740239,0.785071,0.849589,0.887044,0.912857,0.923016,0.986242,0.991528,0.998187,0.999315,0,3,2,0,3,0,73,72,11,11,0.0,1.05729,0.977107,0.0,1.0779,0.0,0.85971,0.666417,0.72697,0.237253,0.0,0.0129898,0.0276971,0.0,0.0121311,0.0,0.265881,0.320614,0.453934,2.19933,0.0,0.0699345,0.110033,0.0,0.070928,0.0,0.0,0.905197,0.629338,0.0,0.903478,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,1.44845,1.08109,0.0,1.08044,0.0,0.0,1411.08,808.473,0.0,169.894,0.0,0.0,853.976,402.23,0.0,84.3899,0.0,3357p015,38.3311 .. 0.0,17.4324 .. 0.0,0.054932 .. 0.0,0.0160417 .. 0.0,13 .. 0,13 .. 0,0.184051 .. 0.0,0.399672 .. 0.0,0.594703 .. 0.0,0.874479 .. 0.0,55345.1002777 .. 0.0,55345.1002777 .. 0.0,0.0,0.0,8.45933,645.295,-0.166463,48320.3,-0.166443,48297.5,0.0,0.0,0.0,0.0,0.0,0.0
5000,328847,3398m005,4855,True,EXP,339.792970923,-0.438666905593,4.24468e+10,2.60401e+10,2926.59,2642.24,8466.49 .. 22408.7,0.0513946,56521.1725802,57334.0262772,0.0,39.4413,64.4372,0.0,86.8501,0.0,49.5599,50.7401,-100.448,-354.539,0.0,31.5039,10.2263,0.0,1.2307,0.0,0.273573,0.0649983,0.000275834,9.43769e-06,0.0 .. 0.0,0.241088 .. 20.1726,0.383074 .. 33.6649,0.0 .. 0.0,0.614139 .. 45.4468,0.0 .. 0.0,0.0 .. 0.0,-0.0102673 .. 0.209248,-0.0228427 .. 0.0294323,0.0 .. 0.0,0.0868406 .. 0.54076,0.0 .. 0.0,0.0 .. 0.0,18135.5 .. 92.5281,5686.85 .. 29.0145,0.0 .. 0.0,648.481 .. 3.30858,0.0 .. 0.0,0.827697,0.858869,0.902594,0.92741,0.944288,0.950882,0.991328,0.994665,0.99886,0.999569,0,12,5,0,4,0,73,73,13,13,0.0,1.02651,1.05574,0.0,1.03515,0.0,100.561,7.25804,0.687108,0.147805,0.0,0.0239199,0.0235571,0.0,0.0528215,0.0,3.07719,1.35874,1.67605,1.69977,0.0,0.0845523,0.0851293,0.0,0.0844369,0.0,0.0,0.995497,0.989309,0.0,1.00147,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,1.6105,1.1069,0.0,1.14026,0.0,0.0,2401.38,1600.1,0.0,173.04,0.0,0.0,1585.42,822.028,0.0,87.1318,0.0,3403p000,106.186 .. 0.0,76.6985 .. 0.0,0.0491288 .. 0.0,0.0134433 .. 0.0,13 .. 0,13 .. 0,0.953449 .. 0.0,1.15764 .. 0.0,30.3212 .. 0.0,4.6101 .. 0.0,55349.7312928 .. 0.0,55348.6728635 .. 0.0,0.0,0.0,7.92412,2190.12,0.122934,190261.0,-0.0594643,93682.6,0.0,0.0,0.0,0.0,0.0,0.0
5000,328838,3376m005,5738,True,REX,337.565356904,-0.399889001072,3.41578e+08,3.51911e+08,2619.01,3175.07,39.1181 .. 22.0086,0.0670903,56543.1482744,56619.0549709,0.0,0.209189,0.407637,0.0,1.13058,0.0,3.45149,2.72842,-98.256,-525.019,0.0,381.079,130.628,0.0,13.3759,0.0,1.40283,0.267357,0.000758367,1.67854e-05,0.0 .. 0.0,0.0151623 .. 1.10046,0.0333156 .. 1.59648,0.0 .. 0.0,0.158497 .. 3.76481,0.0 .. 0.0,0.0 .. 0.0,-0.00624373 .. 0.327997,-0.0169189 .. 0.662536,0.0 .. 0.0,0.0185312 .. 1.11247,0.0 .. 0.0,0.0 .. 0.0,9929.44 .. 50.6604,2834.87 .. 14.4636,0.0 .. 0.0,267.527 .. 1.36493,0.0 .. 0.0,0.781249,0.819877,0.874782,0.90631,0.927901,0.936368,0.988695,0.993042,0.998512,0.999438,0,3,2,0,2,0,76,68,12,11,0.0,0.780025,0.87274,0.0,0.966096,0.0,1.46784,0.905669,0.486281,0.133835,0.0,2.23908e-09,7.49429e-10,0.0,9.79439e-10,0.0,0.544266,0.707046,0.401037,0.806181,0.0,0.221475,0.205352,0.0,0.183074,0.0,0.0,0.863518,0.894479,0.0,0.895628,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,1.51222,1.17022,0.0,1.02439,0.0,0.0,1494.86,715.72,0.0,88.1695,0.0,0.0,959.906,386.334,0.0,41.4345,0.0,3373p000,3.4054 .. 0.0,5.42319 .. 0.0,0.254701 .. 0.0,0.0581413 .. 0.0,13 .. 0,13 .. 0,0.481875 .. 0.0,0.461435 .. 0.0,0.378478 .. 0.0,1.02326 .. 0.0,55348.1766274 .. 0.0,55345.8944193 .. 0.0,0.0,0.0,1.09093,37.4275,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5000,318994,0366m020,5832,True,EXP,36.7382124397,-1.92189667794,4.39677e+09,9.54656e+09,244.781,2872.62,1944.45 .. 731.828,0.0279929,56246.1024842,57348.20897,0.0,11.8664,20.1215,0.0,33.6172,0.0,9.42393,5.61351,-32.4596,-734.889,0.0,44.1836,15.7197,0.0,0.987225,0.0,0.398069,0.0978659,0.000676817,2.23064e-05,0.0 .. 0.0,0.0943844 .. 7.94372,0.134263 .. 12.9244,0.0 .. 0.0,0.229416 .. 21.0668,0.0 .. 0.0,0.0 .. 0.0,-0.0091809 .. 0.542445,-0.0378978 .. 0.634678,0.0 .. 0.0,-0.0452439 .. 0.339654,0.0 .. 0.0,0.0 .. 0.0,18024.4 .. 92.1063,6292.47 .. 32.1045,0.0 .. 0.0,375.217 .. 1.91437,0.0 .. 0.0,0.902126,0.920476,0.94571,0.959785,0.96926,0.97294,0.995267,0.997091,0.999379,0.999765,0,8,4,0,4,0,77,78,25,26,0.0,0.940139,0.974984,0.0,0.913186,0.0,1.01629,0.693162,0.570628,0.147704,0.0,0.0416833,0.0499032,0.0,0.0641398,0.0,0.894024,2.02917,1.62723,1.77761,0.0,0.157651,0.141389,0.0,0.169928,0.0,0.0,0.848466,0.939976,0.0,0.659669,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,1.27785,1.28845,0.0,1.04502,0.0,0.0,3812.93,1313.8,0.0,118.756,0.0,0.0,2224.32,759.184,0.0,57.6096,0.0,0363m016,10.6784 .. 10.8994,-0.038378 .. 7.95353,0.0635237 .. 0.0612756,0.0163602 .. 0.0118238,12 .. 12,11 .. 12,0.973968 .. 0.567631,200.697 .. 1.74521,0.633578 .. 0.673782,0.744997 .. 0.877304,55216.9146431 .. 57229.725162,55216.9146431 .. 57229.725162,0.0,0.0,7.40693,348.354,-0.200142,23095.3,-0.134046,15082.3,0.0,0.0,0.0,0.0,0.0,0.0
5000,314679,0378m027,2026,True,EXP,37.9767557178,-2.79027363533,5.13061e+10,6.85138e+10,402.986,1246.06,12244.8 .. 6718.69,0.0277748,56246.0798443,56925.2952143,0.0,16.0692,26.7191,0.0,35.1447,0.0,18.3036,3.32069,4.8678,261.504,0.0,112.839,38.6799,0.0,2.62924,0.0,0.771328,0.189105,0.00102748,2.89025e-05,0.0 .. 0.0,0.298474 .. 13.5798,0.466668 .. 22.9787,0.0 .. 0.0,0.597721 .. 31.3003,0.0 .. 0.0,0.0 .. 0.0,0.013548 .. -0.255109,-0.0251718 .. 0.213858,0.0 .. 0.0,-0.0932497 .. 1.18328,0.0 .. 0.0,0.0 .. 0.0,21254.9 .. 103.16,6812.27 .. 35.4898,0.0 .. 0.0,425.038 .. 2.18336,0.0 .. 0.0,0.90285,0.92107,0.946122,0.960092,0.969496,0.973148,0.995304,0.997113,0.999384,0.999767,0,8,4,0,4,0,85,87,25,25,0.0,1.10497,1.07458,0.0,1.01714,0.0,0.802699,0.749207,0.791518,0.102332,0.0,0.00802137,0.0131188,0.0,0.00786,0.0,0.125644,0.904595,6.6895,1.28592,0.0,0.067078,0.0312054,0.0,0.0672354,0.0,0.0,0.993111,0.827177,0.0,0.709782,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,1.42708,1.24905,0.0,1.18363,0.0,0.0,3682.38,1504.73,0.0,104.861,0.0,0.0,2267.93,841.248,0.0,57.5053,0.0,0378m031,11.0982 .. 15.2905,-3.81361 .. -9.03433,0.0943611 .. 0.121255,0.0270732 .. 0.0237383,10 .. 13,11 .. 13,0.142018 .. 0.176174,0.699396 .. 0.449774,0.410604 .. 0.538558,0.664264 .. 0.448151,55217.3443468 .. 57230.6439672,55217.3443468 .. 57230.6439672,0.0,0.0,4.03199,7883.96,-0.0833459,116334.0,-0.00263049,43622.1,0.0,0.0,0.0,0.0,0.0,0.0
